Index,Permutaion,MAE,MSE,RMSE
937,"(12, 10, 10, 10, 6)",10.5639,176.3083,13.2781
938,"(12, 10, 10, 10, 10)",10.3158,168.2406,12.9708
939,"(12, 10, 10, 10, 12)",10.4662,164.0602,12.8086
940,"(12, 10, 10, 12, 3)",10.1955,171.9699,13.1137
941,"(12, 10, 10, 12, 6)",9.8271,161.1654,12.6951
942,"(12, 10, 10, 12, 10)",9.6992,151.218,12.2971
943,"(12, 10, 10, 12, 12)",9.7143,149.985,12.2468
944,"(12, 10, 12, 3, 3)",11.7744,234.9925,15.3295
945,"(12, 10, 12, 3, 6)",11.5113,221.6015,14.8863
946,"(12, 10, 12, 3, 10)",11.3083,205.4436,14.3333
947,"(12, 10, 12, 3, 12)",11.1504,196.5789,14.0207
948,"(12, 10, 12, 6, 3)",11.812,233.391,15.2771
949,"(12, 10, 12, 6, 6)",11.406,225.391,15.013
950,"(12, 10, 12, 6, 10)",11.2256,203.782,14.2752
951,"(12, 10, 12, 6, 12)",11.188,199.5789,14.1272
952,"(12, 10, 12, 10, 3)",10.812,185.5789,13.6227
953,"(12, 10, 12, 10, 6)",10.6391,185.3308,13.6136
954,"(12, 10, 12, 10, 10)",10.2331,165.7519,12.8745
955,"(12, 10, 12, 10, 12)",10.6165,171.6692,13.1023
956,"(12, 10, 12, 12, 3)",10.5564,183.5789,13.5491
957,"(12, 10, 12, 12, 6)",10.1504,169.5188,13.0199
958,"(12, 10, 12, 12, 10)",9.9774,156.218,12.4987
959,"(12, 10, 12, 12, 12)",10.1053,161.5789,12.7114
960,"(12, 12, 3, 3, 3)",12.1504,247.4286,15.7299
961,"(12, 12, 3, 3, 6)",11.2707,225.5263,15.0175
962,"(12, 12, 3, 3, 10)",11.0075,202.391,14.2264
963,"(12, 12, 3, 3, 12)",10.5038,185.0,13.6015
964,"(12, 12, 3, 6, 3)",11.6391,220.3008,14.8425
965,"(12, 12, 3, 6, 6)",11.1805,207.3308,14.399
966,"(12, 12, 3, 6, 10)",10.9323,194.3008,13.9392
967,"(12, 12, 3, 6, 12)",11.0226,191.985,13.8559
968,"(12, 12, 3, 10, 3)",10.3233,181.6917,13.4793
969,"(12, 12, 3, 10, 6)",10.6015,188.4812,13.7288
970,"(12, 12, 3, 10, 10)",10.015,165.5789,12.8677
971,"(12, 12, 3, 10, 12)",10.3158,173.7594,13.1818
972,"(12, 12, 3, 12, 3)",10.1353,174.3008,13.2023
973,"(12, 12, 3, 12, 6)",10.0451,167.7895,12.9534
974,"(12, 12, 3, 12, 10)",9.797,155.015,12.4505
975,"(12, 12, 3, 12, 12)",9.7895,152.8571,12.3635
976,"(12, 12, 6, 3, 3)",12.1579,250.8195,15.8373
977,"(12, 12, 6, 3, 6)",11.4361,232.0376,15.2328
978,"(12, 12, 6, 3, 10)",10.8797,196.6842,14.0244
979,"(12, 12, 6, 3, 12)",10.9549,200.1429,14.1472
980,"(12, 12, 6, 6, 3)",11.6466,222.3684,14.912
981,"(12, 12, 6, 6, 6)",11.3684,212.9474,14.5927
982,"(12, 12, 6, 6, 10)",10.8271,182.9774,13.5269
983,"(12, 12, 6, 6, 12)",11.0075,184.9173,13.5984
984,"(12, 12, 6, 10, 3)",10.7293,186.8496,13.6693
985,"(12, 12, 6, 10, 6)",10.3684,173.391,13.1678
986,"(12, 12, 6, 10, 10)",9.9323,163.5865,12.7901
987,"(12, 12, 6, 10, 12)",10.188,164.1729,12.813
988,"(12, 12, 6, 12, 3)",10.1579,177.4211,13.3199
989,"(12, 12, 6, 12, 6)",9.8647,159.188,12.617
990,"(12, 12, 6, 12, 10)",9.5113,147.8872,12.1609
991,"(12, 12, 6, 12, 12)",9.7744,149.8045,12.2395
992,"(12, 12, 10, 3, 3)",11.985,245.6992,15.6748
993,"(12, 12, 10, 3, 6)",11.9398,237.2782,15.4038
994,"(12, 12, 10, 3, 10)",11.5865,207.2707,14.3969
995,"(12, 12, 10, 3, 12)",11.1429,201.0677,14.1798
996,"(12, 12, 10, 6, 3)",11.5263,226.9098,15.0635
997,"(12, 12, 10, 6, 6)",11.5263,223.0902,14.9362
998,"(12, 12, 10, 6, 10)",11.1729,197.8947,14.0675
999,"(12, 12, 10, 6, 12)",11.406,200.9699,14.1764
1000,"(12, 12, 10, 10, 3)",10.3759,171.6241,13.1005
1001,"(12, 12, 10, 10, 6)",10.3383,172.3684,13.1289
1002,"(12, 12, 10, 10, 10)",10.0977,164.2481,12.8159
1003,"(12, 12, 10, 10, 12)",10.3233,162.985,12.7666
1004,"(12, 12, 10, 12, 3)",10.1654,169.7444,13.0286
1005,"(12, 12, 10, 12, 6)",9.8571,158.5038,12.5898
1006,"(12, 12, 10, 12, 10)",9.6917,146.0827,12.0865
1007,"(12, 12, 10, 12, 12)",9.6316,147.4361,12.1423
1008,"(12, 12, 12, 3, 3)",11.8271,237.7669,15.4197
1009,"(12, 12, 12, 3, 6)",11.2782,217.6541,14.7531
1010,"(12, 12, 12, 3, 10)",11.1654,197.1053,14.0394
1011,"(12, 12, 12, 3, 12)",11.188,200.8872,14.1735
1012,"(12, 12, 12, 6, 3)",11.188,213.6391,14.6164
1013,"(12, 12, 12, 6, 6)",11.2782,213.3985,14.6082
1014,"(12, 12, 12, 6, 10)",10.7444,179.4812,13.3971
1015,"(12, 12, 12, 6, 12)",11.2632,194.9624,13.9629
1016,"(12, 12, 12, 10, 3)",10.6466,184.7519,13.5923
1017,"(12, 12, 12, 10, 6)",10.5489,180.0827,13.4195
1018,"(12, 12, 12, 10, 10)",10.2556,168.8571,12.9945
1019,"(12, 12, 12, 10, 12)",10.4737,169.0,13.0
1020,"(12, 12, 12, 12, 3)",10.0075,168.7744,12.9913
1021,"(12, 12, 12, 12, 6)",9.9549,165.6992,12.8724
1022,"(12, 12, 12, 12, 10)",9.6767,148.4135,12.1825
1023,"(12, 12, 12, 12, 12)",9.7368,150.0977,12.2514
