Index,Permutaion,MAE,MSE,RMSE
434,"(6, 10, 12, 3, 10)",11.4436,214.9323,14.6606
435,"(6, 10, 12, 3, 12)",11.5263,216.3835,14.71
436,"(6, 10, 12, 6, 3)",11.9699,248.7519,15.7719
437,"(6, 10, 12, 6, 6)",12.1053,248.4361,15.7619
438,"(6, 10, 12, 6, 10)",11.9549,230.8722,15.1945
439,"(6, 10, 12, 6, 12)",11.4887,211.3684,14.5385
440,"(6, 10, 12, 10, 3)",10.7669,187.985,13.7108
441,"(6, 10, 12, 10, 6)",10.5414,186.8421,13.669
442,"(6, 10, 12, 10, 10)",10.1053,160.0602,12.6515
443,"(6, 10, 12, 10, 12)",10.6842,171.4211,13.0928
444,"(6, 10, 12, 12, 3)",10.4361,171.7444,13.1051
445,"(6, 10, 12, 12, 6)",10.2932,168.6541,12.9867
446,"(6, 10, 12, 12, 10)",9.7744,149.5038,12.2272
447,"(6, 10, 12, 12, 12)",9.812,148.609,12.1905
448,"(6, 12, 3, 3, 3)",11.797,243.2857,15.5976
449,"(6, 12, 3, 3, 6)",11.6165,239.6015,15.4791
450,"(6, 12, 3, 3, 10)",10.7594,199.7368,14.1328
451,"(6, 12, 3, 3, 12)",10.9098,196.4436,14.0158
452,"(6, 12, 3, 6, 3)",11.9023,228.6541,15.1213
453,"(6, 12, 3, 6, 6)",11.9925,239.5263,15.4766
454,"(6, 12, 3, 6, 10)",11.0226,201.6541,14.2005
455,"(6, 12, 3, 6, 12)",11.0827,204.4662,14.2992
456,"(6, 12, 3, 10, 3)",10.5714,181.4737,13.4712
457,"(6, 12, 3, 10, 6)",10.4812,188.6617,13.7354
458,"(6, 12, 3, 10, 10)",9.8271,158.7594,12.6
459,"(6, 12, 3, 10, 12)",10.1429,163.8872,12.8018
460,"(6, 12, 3, 12, 3)",10.5414,175.9699,13.2654
461,"(6, 12, 3, 12, 6)",10.6391,182.1128,13.4949
462,"(6, 12, 3, 12, 10)",9.5714,145.3759,12.0572
463,"(6, 12, 3, 12, 12)",9.9774,154.0526,12.4118
464,"(6, 12, 6, 3, 3)",12.2932,259.9474,16.1229
465,"(6, 12, 6, 3, 6)",12.0752,245.2632,15.6609
466,"(6, 12, 6, 3, 10)",10.9925,211.5639,14.5452
467,"(6, 12, 6, 3, 12)",11.2707,209.797,14.4844
468,"(6, 12, 6, 6, 3)",12.4135,244.6241,15.6405
469,"(6, 12, 6, 6, 6)",11.8571,232.6391,15.2525
470,"(6, 12, 6, 6, 10)",11.0602,200.6241,14.1642
471,"(6, 12, 6, 6, 12)",11.4211,206.5188,14.3708
472,"(6, 12, 6, 10, 3)",10.797,185.3233,13.6134
473,"(6, 12, 6, 10, 6)",10.5263,183.7293,13.5547
474,"(6, 12, 6, 10, 10)",9.9925,155.4211,12.4668
475,"(6, 12, 6, 10, 12)",10.406,163.0526,12.7692
476,"(6, 12, 6, 12, 3)",10.7669,180.782,13.4455
477,"(6, 12, 6, 12, 6)",10.1353,170.4662,13.0563
478,"(6, 12, 6, 12, 10)",9.7293,148.5564,12.1884
479,"(6, 12, 6, 12, 12)",9.985,154.0752,12.4127
480,"(6, 12, 10, 3, 3)",12.203,253.0752,15.9083
481,"(6, 12, 10, 3, 6)",11.985,236.8872,15.3911
482,"(6, 12, 10, 3, 10)",11.0902,200.2331,14.1504
483,"(6, 12, 10, 3, 12)",11.3008,215.2556,14.6716
484,"(6, 12, 10, 6, 3)",11.6992,234.4812,15.3128
485,"(6, 12, 10, 6, 6)",12.015,241.594,15.5433
486,"(6, 12, 10, 6, 10)",11.3759,212.6541,14.5827
487,"(6, 12, 10, 6, 12)",10.9098,195.3308,13.9761
488,"(6, 12, 10, 10, 3)",10.3759,175.9098,13.2631
489,"(6, 12, 10, 10, 6)",10.4361,176.1805,13.2733
490,"(6, 12, 10, 10, 10)",9.7895,152.6917,12.3568
491,"(6, 12, 10, 10, 12)",10.015,157.1128,12.5345
492,"(6, 12, 10, 12, 3)",10.4135,175.4812,13.2469
493,"(6, 12, 10, 12, 6)",10.218,171.4812,13.0951
494,"(6, 12, 10, 12, 10)",9.6466,147.6917,12.1528
495,"(6, 12, 10, 12, 12)",9.5789,142.9173,11.9548
496,"(6, 12, 12, 3, 3)",12.1729,247.4662,15.7311
497,"(6, 12, 12, 3, 6)",12.0677,239.5414,15.4771
498,"(6, 12, 12, 3, 10)",11.1504,205.812,14.3462
499,"(6, 12, 12, 3, 12)",11.3835,208.5414,14.441
500,"(6, 12, 12, 6, 3)",11.9023,233.8571,15.2924
501,"(6, 12, 12, 6, 6)",11.5865,230.5338,15.1833
502,"(6, 12, 12, 6, 10)",11.3759,213.7519,14.6203
503,"(6, 12, 12, 6, 12)",10.9323,202.3008,14.2232
504,"(6, 12, 12, 10, 3)",10.812,181.2632,13.4634
505,"(6, 12, 12, 10, 6)",10.6165,180.6617,13.441
506,"(6, 12, 12, 10, 10)",10.0602,159.4737,12.6283
507,"(6, 12, 12, 10, 12)",10.1128,161.7068,12.7164
508,"(6, 12, 12, 12, 3)",10.4436,174.4887,13.2094
509,"(6, 12, 12, 12, 6)",10.0977,169.406,13.0156
510,"(6, 12, 12, 12, 10)",9.6767,145.9925,12.0827
511,"(6, 12, 12, 12, 12)",9.5414,143.3609,11.9733
512,"(10, 3, 3, 3, 3)",13.3985,290.7669,17.0519
513,"(10, 3, 3, 3, 6)",12.812,269.5338,16.4175
514,"(10, 3, 3, 3, 10)",12.8647,264.203,16.2543
515,"(10, 3, 3, 3, 12)",11.7068,211.4812,14.5424
516,"(10, 3, 3, 6, 3)",12.6466,251.3534,15.8541
517,"(10, 3, 3, 6, 6)",12.0977,247.3308,15.7268
518,"(10, 3, 3, 6, 10)",12.2857,234.4962,15.3133
519,"(10, 3, 3, 6, 12)",11.7293,210.0752,14.494
520,"(10, 3, 3, 10, 3)",12.1955,251.3684,15.8546
521,"(10, 3, 3, 10, 6)",11.8647,227.9549,15.0982
522,"(10, 3, 3, 10, 10)",11.203,215.188,14.6693
523,"(10, 3, 3, 10, 12)",11.0526,190.1353,13.789
524,"(10, 3, 3, 12, 3)",11.3383,205.6692,14.3412
525,"(10, 3, 3, 12, 6)",10.7293,186.6992,13.6638
526,"(10, 3, 3, 12, 10)",10.4361,171.2481,13.0862
527,"(10, 3, 3, 12, 12)",10.3835,168.3534,12.9751
528,"(10, 3, 6, 3, 3)",13.5564,300.8045,17.3437
529,"(10, 3, 6, 3, 6)",12.9624,276.406,16.6255
530,"(10, 3, 6, 3, 10)",12.5564,260.1203,16.1282
531,"(10, 3, 6, 3, 12)",11.4586,203.6692,14.2713
532,"(10, 3, 6, 6, 3)",12.3158,248.6015,15.7671
533,"(10, 3, 6, 6, 6)",12.2857,257.1579,16.0361
534,"(10, 3, 6, 6, 10)",12.1654,233.9549,15.2956
535,"(10, 3, 6, 6, 12)",11.8722,212.2782,14.5698
536,"(10, 3, 6, 10, 3)",12.0827,251.7669,15.8672
537,"(10, 3, 6, 10, 6)",11.782,229.5714,15.1516
538,"(10, 3, 6, 10, 10)",11.4662,217.3609,14.7432
539,"(10, 3, 6, 10, 12)",10.6617,170.4662,13.0563
540,"(10, 3, 6, 12, 3)",11.0526,196.4361,14.0156
541,"(10, 3, 6, 12, 6)",10.6241,182.9549,13.5261
542,"(10, 3, 6, 12, 10)",10.1203,162.406,12.7439
543,"(10, 3, 6, 12, 12)",10.2857,164.391,12.8215
544,"(10, 3, 10, 3, 3)",14.1203,325.9098,18.053
545,"(10, 3, 10, 3, 6)",12.9699,281.2256,16.7698
546,"(10, 3, 10, 3, 10)",12.6767,260.8872,16.152
547,"(10, 3, 10, 3, 12)",11.5489,208.1654,14.4279
548,"(10, 3, 10, 6, 3)",13.3534,292.5865,17.1052
549,"(10, 3, 10, 6, 6)",13.2331,296.0902,17.2073
550,"(10, 3, 10, 6, 10)",12.7068,254.3609,15.9487
551,"(10, 3, 10, 6, 12)",12.0451,222.2406,14.9077
552,"(10, 3, 10, 10, 3)",11.8346,238.5564,15.4453
553,"(10, 3, 10, 10, 6)",11.5489,218.5414,14.7831
554,"(10, 3, 10, 10, 10)",11.3008,212.7594,14.5863
555,"(10, 3, 10, 10, 12)",10.9023,177.6842,13.3298
556,"(10, 3, 10, 12, 3)",10.5865,182.6767,13.5158
557,"(10, 3, 10, 12, 6)",10.6842,184.8496,13.5959
558,"(10, 3, 10, 12, 10)",10.3383,167.0752,12.9258
559,"(10, 3, 10, 12, 12)",10.0376,156.6391,12.5156
560,"(10, 3, 12, 3, 3)",12.391,249.5489,15.7971
561,"(10, 3, 12, 3, 6)",11.9098,234.1053,15.3005
562,"(10, 3, 12, 3, 10)",11.4211,205.3759,14.3309
563,"(10, 3, 12, 3, 12)",11.4887,204.2707,14.2923
564,"(10, 3, 12, 6, 3)",12.5263,256.1504,16.0047
565,"(10, 3, 12, 6, 6)",11.9699,234.8571,15.325
566,"(10, 3, 12, 6, 10)",11.6015,211.6617,14.5486
567,"(10, 3, 12, 6, 12)",11.4586,207.0677,14.3898
568,"(10, 3, 12, 10, 3)",11.0301,200.5639,14.1621
569,"(10, 3, 12, 10, 6)",11.1955,198.8647,14.1019
570,"(10, 3, 12, 10, 10)",10.5489,177.2406,13.3132
571,"(10, 3, 12, 10, 12)",10.5714,171.3985,13.0919
572,"(10, 3, 12, 12, 3)",10.9323,193.1729,13.8987
573,"(10, 3, 12, 12, 6)",10.8797,185.0301,13.6026
574,"(10, 3, 12, 12, 10)",10.3308,165.3985,12.8607
575,"(10, 3, 12, 12, 12)",10.2331,163.1955,12.7748
576,"(10, 6, 3, 3, 3)",12.6992,263.797,16.2418
577,"(10, 6, 3, 3, 6)",12.4887,261.6767,16.1764
578,"(10, 6, 3, 3, 10)",12.188,243.8872,15.6169
579,"(10, 6, 3, 3, 12)",11.4135,204.406,14.2971
580,"(10, 6, 3, 6, 3)",11.9925,236.0677,15.3645
581,"(10, 6, 3, 6, 6)",11.5338,235.4887,15.3456
582,"(10, 6, 3, 6, 10)",11.6241,218.7519,14.7903
583,"(10, 6, 3, 6, 12)",11.2632,196.7669,14.0274
584,"(10, 6, 3, 10, 3)",11.4135,230.6617,15.1875
585,"(10, 6, 3, 10, 6)",11.1729,210.4662,14.5075
586,"(10, 6, 3, 10, 10)",10.8496,201.782,14.205
587,"(10, 6, 3, 10, 12)",10.594,180.8045,13.4464
588,"(10, 6, 3, 12, 3)",10.7669,186.4962,13.6564
589,"(10, 6, 3, 12, 6)",10.1654,167.7293,12.951
590,"(10, 6, 3, 12, 10)",9.8346,156.4511,12.508
591,"(10, 6, 3, 12, 12)",9.9925,160.6391,12.6743
592,"(10, 6, 6, 3, 3)",12.9474,282.6617,16.8125
593,"(10, 6, 6, 3, 6)",12.4586,254.4135,15.9503
594,"(10, 6, 6, 3, 10)",12.2406,255.218,15.9755
595,"(10, 6, 6, 3, 12)",11.3459,199.2857,14.1169
596,"(10, 6, 6, 6, 3)",11.8797,235.218,15.3368
597,"(10, 6, 6, 6, 6)",11.797,231.015,15.1992
598,"(10, 6, 6, 6, 10)",11.7594,214.7519,14.6544
599,"(10, 6, 6, 6, 12)",11.1203,189.3609,13.7608
600,"(10, 6, 6, 10, 3)",11.5414,233.7218,15.288
601,"(10, 6, 6, 10, 6)",11.2632,212.1203,14.5644
602,"(10, 6, 6, 10, 10)",10.797,195.2632,13.9737
603,"(10, 6, 6, 10, 12)",10.1654,162.5865,12.7509
604,"(10, 6, 6, 12, 3)",10.6692,189.3158,13.7592
605,"(10, 6, 6, 12, 6)",10.0301,165.6541,12.8707
606,"(10, 6, 6, 12, 10)",9.6391,150.8571,12.2824
607,"(10, 6, 6, 12, 12)",9.6917,154.594,12.4336
608,"(10, 6, 10, 3, 3)",13.203,296.812,17.2282
609,"(10, 6, 10, 3, 6)",12.7895,276.3534,16.6239
610,"(10, 6, 10, 3, 10)",12.2632,261.1504,16.1601
611,"(10, 6, 10, 3, 12)",11.0526,191.4436,13.8363
612,"(10, 6, 10, 6, 3)",12.4962,258.5414,16.0792
613,"(10, 6, 10, 6, 6)",12.1353,249.0977,15.7828
614,"(10, 6, 10, 6, 10)",11.9173,234.0677,15.2993
615,"(10, 6, 10, 6, 12)",11.5338,212.6767,14.5834
616,"(10, 6, 10, 10, 3)",11.2632,220.797,14.8592
617,"(10, 6, 10, 10, 6)",11.0451,208.9699,14.4558
618,"(10, 6, 10, 10, 10)",10.9474,197.6842,14.06
619,"(10, 6, 10, 10, 12)",10.3158,160.9774,12.6877
620,"(10, 6, 10, 12, 3)",10.5564,179.3985,13.394
621,"(10, 6, 10, 12, 6)",10.4887,173.6617,13.1781
622,"(10, 6, 10, 12, 10)",9.9098,157.5038,12.5501
623,"(10, 6, 10, 12, 12)",9.6541,146.391,12.0992
624,"(10, 6, 12, 3, 3)",12.0451,233.0075,15.2646
625,"(10, 6, 12, 3, 6)",11.7293,217.8496,14.7597
626,"(10, 6, 12, 3, 10)",11.4511,204.6241,14.3047
627,"(10, 6, 12, 3, 12)",11.4812,206.3534,14.365
628,"(10, 6, 12, 6, 3)",12.3158,237.8496,15.4224
629,"(10, 6, 12, 6, 6)",11.7293,225.7895,15.0263
630,"(10, 6, 12, 6, 10)",11.1128,191.0075,13.8205
631,"(10, 6, 12, 6, 12)",10.9774,199.1278,14.1113
632,"(10, 6, 12, 10, 3)",10.8647,190.5338,13.8034
633,"(10, 6, 12, 10, 6)",10.4135,178.3534,13.3549
634,"(10, 6, 12, 10, 10)",10.2105,169.6541,13.0251
635,"(10, 6, 12, 10, 12)",10.1353,161.2632,12.6989
636,"(10, 6, 12, 12, 3)",10.7068,183.7594,13.5558
637,"(10, 6, 12, 12, 6)",10.1429,165.8722,12.8791
